,parola,count
0,serio,259
1,game,167
2,squid,154
3,anno,121
4,coreano,116
5,dio,109
6,netflix,106
7,giocare,97
8,potere,91
9,primo,91
10,film,86
11,altro,78
12,nuovo,68
13,sempre,65
14,corea,65
15,mondare,64
16,milione,61
17,tv,61
18,succedere,58
19,storia,58
20,bambino,55
21,dopo,54
22,dovere,54
23,vistare,53
24,tempo,52
25,partire,52
26,venire,49
27,raccontare,49
28,proprio,48
29,dire,47
30,dare,46
31,paese,45
32,due,45
33,k,45
34,sudcoreano,44
35,diventare,44
36,vincere,44
37,cinema,44
38,mentre,43
39,parlare,43
40,così,43
41,piattaforma,42
42,giorno,42
43,vita,42
44,stesso,42
45,d,41
46,solere,40
47,lingua,40
48,spiegare,40
49,oggi,39
50,persona,37
51,gioco,37
52,volere,37
53,quando,37
54,cosa,37
55,pop,36
56,fino,36
57,mettere,35
58,jung,35
59,perdere,33
60,pensare,33
61,pubblicare,33
62,protagonista,33
63,cultura,32
64,piccolo,32
65,volto,32
66,senza,31
67,stagione,31
68,arrivare,31
69,vedere,31
70,ancorare,30
71,poi,30
72,già,29
73,globale,29
74,giocatore,29
75,orare,29
76,the,29
77,tre,29
78,italiano,29
79,giovane,29
80,restare,29
81,poco,29
82,secondo,28
83,famiglia,28
84,neo,27
85,scuola,27
86,sud,27
87,personaggio,27
88,grande,26
89,dirigere,26
90,musico,26
91,andare,26
92,madre,26
93,buono,26
94,scrivere,26
95,italia,25
96,secondare,25
97,episodio,25
98,casa,25
99,scena,25
100,guardare,24
101,stato,24
102,regista,24
103,qualche,24
104,qui,24
105,fenomeno,23
106,asiatico,23
107,alcun,23
108,hwang,23
109,società,23
110,partecipare,23
111,genitore,23
112,premiare,23
113,sapere,23
114,vero,22
115,debuttare,22
116,produrre,22
117,dong,22
118,hyuk,22
119,ogni,22
120,mai,22
121,modo,22
122,streaming,21
123,oscar,21
124,ansare,21
125,vivere,21
126,moda,21
127,trovare,21
128,attore,21
129,record,20
130,contare,20
131,social,20
132,uscire,20
133,inglese,20
134,lee,20
135,figliare,20
136,attrice,20
137,gruppo,20
138,crescere,20
139,interpretare,20
140,prendere,20
141,iniziare,20
142,esempio,20
143,quattro,19
144,leggere,19
145,originale,19
146,postare,19
147,ricco,19
148,calamaro,19
149,ultimo,19
150,sentire,19
151,dollaro,19
152,forse,19
153,diro,19
154,parasite,18
155,planetario,18
156,lavorare,18
157,però,18
158,stellare,18
159,diverso,18
160,temere,18
161,scelto,18
162,ricordare,18
163,importare,18
164,bastare,18
165,menare,17
166,insegnare,17
167,passare,17
168,6,17
169,numerare,17
170,spettatore,17
171,formare,17
172,quindi,17
173,show,17
174,sembrare,17
175,oltre,16
176,superare,16
177,medio,16
178,contenuto,16
179,momento,16
180,scorrere,16
181,sociale,16
182,conquistare,16
183,donna,16
184,circa,16
185,ormai,16
186,seguire,16
187,bene,16
188,puntare,16
189,miglior,16
190,giapponese,16
191,tornare,16
192,tanto,16
193,figlio,16
194,appuntire,16
195,settimana,15
196,culturale,15
197,grazia,15
198,numero,15
199,popolare,15
200,realtà,15
201,rendere,15
202,sotto,15
203,1,15
204,certo,15
205,mese,15
206,provare,15
207,attraversare,15
208,digitale,15
209,via,15
210,povero,15
211,lanciare,14
212,nord,14
