기사 작성일	기사 제목	기사 url	기사 내용	언론사
13 ottobre 2021	SQUID GAME SORPASSA BRIDGERTON, SU NETFLIX È IL PIÙ VISTO	https://www.ansa.it/canale_lifestyle/notizie/tempo_libero/2021/10/13/squid-game-sorpassa-bridgerton-su-netflix-e-il-piu-visto_7b27948c-aabd-4c05-824e-7f9c9c476086.html	Squid Game il sorpasso: la serie sudcoreana, vero e proprio fenomeno cult già oltre i confini asiatici, è diventato il lancio più visto di sempre su Netflix superando il precedente record di Bridgerton.  Ha attirato 111 milioni di fan dal suo debutto meno di quattro settimane fa, come confermato dal servizio di streaming.  Per il dramma distopico un successo virale globale senza precedenti: la serie immagina un mondo macabro in cui le persone emarginate sono messe l'una contro l'altra nei tradizionali giochi per bambini.     Mentre il vincitore può guadagnare milioni in contanti, i giocatori perdenti vengono sterminati.     Diffuso in tutto il mondo tramite il passaparola, in particolare tramite i social media, "Squid Game" ha scalato le classifiche di Netflix in più di 80 paesi. Anche in Italia è primo tra i più visti della piattaforma. "Squid Game ha ufficialmente raggiunto 111 milioni di fan, rendendolo il nostro più grande lancio della serie di sempre!" ha twittato Netflix.     In confronto, il dramma romantico di epoca Regency "Bridgerton" (di cui è attesa la seconda stagione) ha raggiunto 82 milioni di famiglie al debutto: questo secondo la metrica interna di Netflix che include qualsiasi account che abbia guardato un episodio per almeno due minuti.     La Squid Game mania riporta al top la cultura sudcoreana dopo il K-Pop della boy band Bts, la presa di Hollywood (e della Palma d'oro a Cannes) con i film Oscar Parasite di Bong Joon-oh e la routine beauty coreana da tempo popolarissima. (ANSA).	ansa
25 novembre 2021	Contrabbanda Squid Game in Nord Corea, condannato a morte	https://www.ansa.it/sito/notizie/mondo/2021/11/25/contrabbanda-squid-game-in-nord-corea-condannato-a-morte_39cccf1d-81d0-4493-95da-3da2133a84f1.html	(ANSA) - NEW YORK, 25 NOV - Condannato a morte per aver contrabbandato Squid Game, la serie sudcoreana di successo planetario, in Corea del Nord.  Lo riferisce Variety citando Radio Free Asia, che ha base negli Usa.  Si tratta di uno studente che ha portato la serie trasmessa da Netflix dalla Cina dopo averla caricata su una chiavetta USB. E' stato scoperto dopo che le autorità hanno sorpreso alcuni studenti a guardare Squid game. Rischia il plotone di esecuzione. Gli altri studenti sono stati condannati a cinque anni di lavori forzati mentre insegnanti e dirigenti della scuola sono stati licenziati e rischiano di finire a lavorare nelle miniere, dice Variety.     Nel 2020 il regime nord coreano ha approvato una 'Legge per l'eliminazione del pensiero e della cultura reazionari' che proibisce l'ingresso e la divulgazione nel paese di materiale culturale straniero come film, musica e libri. Il provvedimento ha principalmente lo scopo di impedire la diffusione di contenuti prodotti dalla Corea del Sud e dagli Stati Uniti.     (ANSA).	ansa
30 dicembre 2021	Squid Game, trattativa con Netflix per la terza serie	https://www.ansa.it/sito/notizie/cultura/tv/2021/12/30/squid-game-trattativa-con-netflix-per-la-terza-serie_5d5e80ee-6d14-44c7-b414-4f40a3e813fa.html	(ANSA) - NEW YORK, 30 DIC - Si parla già di un terza serie per Squid Game nonostante non sia stata ancora confermata la seconda.  Secondo Hollywood Reporter, Hwang Dong-hyuk, ideatore e regista della serie televisiva sudcoreana, in un'intervista alla tv coreana KBS ha confermato di essere in trattativa con Netflix per una terza stagione.       Al momento la piattaforma di streaming sta pensando alla seconda serie, che però non è stata ancora confermata. Parlando con The Korea Times Hwang Dong-hyuk aveva detto: "Sto discutendo con Netflix per una seconda e una terza stagione".     La serie, che ha debuttato lo scorso 17 settembre, ha registrato 111 milioni di visualizzazioni dopo soli 28 giorni dal debutto, esordio top tra le serie originali Netflix che ha battuto il record storico degli 82 milioni di Bridgerton.     (ANSA).	ansa
27 novembre 2021	Contrabbanda Squid Game in Nord Corea, studente condannato a morte	https://www.ansa.it/sito/notizie/mondo/2021/11/25/contrabbanda-squid-game-in-nord-corea-studente-condannato-a-morte_9681c04c-325c-47a9-b421-e7b635783fe4.html	Uno studente è stato condannato a morte per aver contrabbandato Squid Game, la serie sudcoreana di successo planetario, in Corea del Nord.  Lo riferisce Variety citando Radio Free Asia, che ha base negli Usa.  Lo studente ha portato la serie trasmessa da Netflix dalla Cina dopo averla caricata su una chiavetta USB. E' stato scoperto dopo che le autorità hanno sorpreso alcuni studenti a guardare gli episodi.  Ora rischia il plotone di esecuzione. Gli altri studenti sono stati condannati a cinque anni di lavori forzati mentre insegnanti e dirigenti della scuola sono stati licenziati e rischiano di finire a lavorare nelle miniere, dice Variety.  Nel 2020 il regime nord coreano ha approvato una 'Legge per l'eliminazione del pensiero e della cultura reazionari' che proibisce l'ingresso e la divulgazione nel paese di materiale culturale straniero come film, musica e libri. Il provvedimento ha principalmente lo scopo di impedire la diffusione di contenuti prodotti dalla Corea del Sud e dagli Stati Uniti.	ansa
10 ottobre 2021	Squid game, serie sudcoreana hit globale di Netflix	https://www.ansa.it/sito/notizie/cultura/tv/2021/10/10/squid-game-serie-sudcoreana-hit-globale-di-netflix_2c927c4b-7b1a-4f85-b223-e3e853c91c9e.html	Viene da 10 anni di rifiuti, per una sceneggiatura giudicata troppo inverosimile, il successo globale di Squid Game, la serie sudcoreana thriller distopica/drammatica/commedia nera/satira sociale in nove episodi di Netflix, che ha conquistato grazie al passaparola il pubblico della piattaforma.  Uscita tre settimane fa, è arrivata al primo posto in 90 Paesi, dagli Usa a gli Emirati Arabi, dal Brasile alla Lituania, Italia compresa (nonostante non ci sia il doppiaggio in italiano, ma sia possibile vederla solo sottotitolata).  Numeri che secondo il co- amministratore delegato di Netflix Ted Sarandos, stanno per portarla a diventare la serie non in lingua in inglese più vista di sempre sulla piattaforma e potrebbero anche renderla la più vista e popolare in assoluto, superando Bridgerton. A firmare Squid Game come sceneggiatore e regista è Hwang Dong-hyuk, secondo il quale il tanto atteso sì al progetto è arrivato perché il mondo è diventato "un posto dove storie di sopravvivenza uniche e violente sono benvenute per i legami con la realtà che viviamo" ha spiegato al Koren Times. Il regista e sceneggiatore ha voluto riflettere nel racconto "la società competitiva di oggi - ha aggiunto con la Cnn -. Questa è una storia di perdenti che si barcamenano nelle battaglie quotidiane e vengono lasciati ai margini mentre i 'vincenti' continuano la loro scalata". Un concetto reso nella serie con una visione onirica, grottesca e violenta, ricca di citazioni, da Agatha Christie a Eyes Wide Shut di Kubrick, passando per Hunger Games e Battle Royale, con una spruzzata di lotta di classe. Si racconta la battaglia per la vita di 456 'concorrenti' che accettano partecipare a una misteriosa serie di giochi per un ricco montepremi. Uomini e donne, di tutte le età, devastati dai debiti o da altri traumi, con carriere distrutte, violenze subite, crimini commessi o sogni di una nuova vita, portati su un'isola per 'battersi', tutti vestiti con la stessa tuta verde, in versioni riviste e corrette di giochi infantili, come Un due, tre stella il tiro alla fune o 'il gioco del calamaro' che dà il titolo alla serie. Non si aspettano però che i perdenti nelle diverse manche vengano giustiziati e che ogni morto arricchisca il jackpot per il vincitore fino a 45.6 miliardi di won (circa 33 milioni di euro). Il tutto sotto il controllo di un frontman e le sue guardie / carnefici, armate di mitra, mascherate e incappucciate in divise rosse (non si può non pensare a La casa di carta). Tra i personaggi che lottano per la vita e i soldi, ci sono Seong Gi-hun (Lee Jung-jae) ludopata squattrinato quarantenne mantenuto dalla mamma e compatito dalla figlia di 10 anni; Cho Sang-woo (Park Hae-soo), operatore finanziario ricercato per aver derubato i suoi clienti; la giovane profuga dalla Corea del nord Kang Sae-byeok (la modella al debutto da attrice Jung Ho-yeon) che ha bisogno di denaro per riunire la sua famiglia; il generoso e forte immigrato pachistano Abdul Ali (Anupam Tripathi) e l'anziano e malato Oh Il-nam (O Yeong-su). Un racconto che tra colori pastello e svolte dark ha conquistato subito anche il pubblico dei social (dai video delle repliche dei giochi su Tiktok alle fanfiction), creando anche qualche inconveniente reale, come la sfortunata donna coreana, che avendo nella vita uno dei numeri telefonici centrali nella serie, si è ritrovata oggetto di centinaia di chiamate e scherzi telefonici. Un problema che Netflix avrebbe intenzione di risolvere cambiando il numero nelle varie scene dove compare, dopo aver chiesto ai fans di non disturbare più la signora. Intanto Hwang Dong-hyuk pensa, con calma, se realizzare una seconda stagione, dopo l'ansia nelle riprese della prima, in piena pandemia: "Per lo stress ho perso anche sei denti - ha raccontato - ma le persone sono entusiaste della serie, sto valutando l'idea".	ansa
27 ottobre 2021	Usa: 3 scuole Ny vietano costumi Squid Game per Halloween	https://www.ansa.it/sito/notizie/mondo/2021/10/27/usa-3-scuole-ny-vietano-costumi-squid-game-per-halloween_c7342501-a352-4789-83c2-20b758dfa42a.html	(ANSA) - NEW YORK, 27 OTT - I costumi della seguitissima serie di Netflix Squid Game saranno probabilmente tra i piu' popolari per la festa di Halloween, ma non nelle scuole elementari nel distretto di Fayetteville-Manlius, nello stato di New York.  Tre presidi hanno infatti inviato una email ai genitori degli alunni, dicendo che gli abiti rossi e le maschere nere sono vietati a causa del "messaggio violento" della serie sudcoreana. La restrizione è arrivata dopo che i presidi delle scuole nell'area di Syracuse hanno spiegato che gli studenti stavano giocando a una versione del gioco di sopravvivenza che ha causato tantissime polemiche. "A causa delle preoccupazioni sulla potenziale natura violenta del gioco è inappropriato", si legge nella lettera inviata ai genitori della Mott Road Elementary School, riportata dal New York Post: "E anche un costume di Halloween ispirato a questa serie non soddisfa le nostre linee guida".     Squid Game (letteralmente 'il gioco del calamaro') narra la storia di un gruppo di persone che rischiano la vita in un mortale gioco di sopravvivenza per vincere il montepremi di 45,6 miliardi di won, pari a circa 33 milioni di euro. Dopo il debutto a settembre su Netflix, circa 111 milioni di spettatori hanno seguito le puntate, rendendola la serie più popolare di sempre sulla piattaforma, ma scatenando anche tantissime polemiche per la sua natura violenta. (ANSA).	ansa
05 ottobre 2021	Gb: 26 parole sudcoreane inserite nel dizionario Oxford	https://www.ansa.it/sito/notizie/mondo/europa/2021/10/05/gb-26-parole-sudcoreane-inserite-nel-dizionario-oxford_02b1a622-92df-4c0b-b74f-5144e7989469.html	(ANSA) - ROMA, 05 OTT - Che sia un film premio Oscar come Parasite, la serie Squid Game o un pezzo della boy band Bts, la cultura della Corea del Sud è sempre più presente nelle vite di tutti noi.  La Gran Bretagna ha reso questa presenza ufficiale inserendo ben 26 parole sudcoreane nell'Oxford English Dictionary, la Bibbia della lingua inglese.       Si tratta, riporta la Bbc, soprattutto di termini legati al cibo come 'kimbap' (nome della versione coreana del sushi) o bulgogi (piatto a base di carne di manzo o di maiale). Ma ci sono anche parole astratte come 'hallyu' che indica 'il crescente interesse internazionale per la Corea del Sud e la sua cultura popolare, rappresentata dal successo globale della musica, del cinema, della tv, della moda e del cibo'.     I linguisti dell'Oxford English Dictionary hanno spiegato che l'introduzione delle parole sudcoreane nel dizionario è il riconoscimento di un cambiamento nel linguaggio parlato. "Gli asiatici inventano e scambiano parole nei loro contesti, poi le introducono al resto del mondo che parla inglese permettendo così all'onda coreana di continuare a incresparsi sul mare di parole inglesi", si legge nel comunicato. (ANSA).	ansa
13 ottobre 2021	SQUID GAME MANIA, DALLA PROTAGONISTA MODELLA AI DOLCI, AI COSTUMI PER HALLOWEEN /VIDEO	https://www.ansa.it/canale_lifestyle/notizie/tempo_libero/2021/10/11/squid-game-mania-dalla-protagonista-modella-ai-dolci-ai-costumi-per-halloween-video_6fd9da74-07c4-4c20-b465-6faf35c6e2bc.html	Dopo il K-Pop dei Bts, la korean beauty, il successo a Hollywood e nel mondo di Parasite di Bong Jooh-Oh, la Corea del Sud ha messo a segno un altro boom globale grazie al fenomeno Squid Game, la serie che sta vivendo una vera e propria mania, ha superato Bridgerton come serie più vista di Netflix e sarà uno dei trend per i costumi di Halloween, secondo un report di Google.  E' boom per i protagonisti che lottano per la vita e i soldi, in particolare la modella diventata attrice Jung Ho-yeon, 27 anni, che interpreta la rifugiata nordcoreana Kang Sae-byeok, è ora diventata l'attrice più seguita in Corea con 15,6 milioni di follower su Instagram, un numero sorprendente in un paese con una popolazione di 52 milioni.  Jung è stata nominata ambasciatrice globale di Louis Vuitton per moda, orologi e gioielli. Arrivata seconda nella quarta stagione di "Korea's Next Top Model" quando aveva 20 anni, è una modella internazionale dal 2016 e ha anche sfilato per Marc Jacobs, Fendi, Rag & Bone, Alberta Ferretti e Max Mara.  Successo nel successo è quello anche di una piccola pasticceria di Seoul, gestita da una coppia che ogni giorno, davanti al loro modesto stand vedono i fan che si affrettano a comprare una "dalgona", L'ormai famoso biscotto, a lungo associato all'estrema povertà che seguì gli anni del dopoguerra, sta vivendo un revival grazie alla popolarità della serie (violenta e splatter, una risposta asiatica alla Casa di Carta, sempre con al centro il tema del lato oscuro del capitalismo). Questa serie Netflix presenta personaggi delle frange più emarginate della Corea del Sud che partecipano ai giochi tradizionali per bambini per vincere 45,6 miliardi di won (33 milioni di euro). In una delle prove, i concorrenti devono ritagliare delle forme, in particolare una stella e un ombrello, in questa sfoglia di zucchero croccante,  un dolcetto di strada a base di zucchero caramellato e bicarbonato, infilato in un bastoncino, una sorta di caramella lecca lecca. Coloro che non riescono a romperlo vengono immediatamente giustiziati. Questo gioco di vita e morte è stato ispirato dalla storia del regista Hwang Dong-hyuk, cresciuto a Seoul negli anni 70. A quel tempo, i bambini che riuscivano a ritagliare una forma ricevevano un dalgona gratuito. Per vincere, il signor Hwang è stato incredibilmente inventivo, non esitando a leccare il dolcetto per allentare la forma o usare un ago riscaldato. Nella serie, i personaggi riproducono queste diverse tecniche. "Il produttore di dalgona sarebbe dubbioso nel vedermi tirare fuori la forma più difficile, che è quella di un ombrello", ha detto il regista in un recente video di YouTube. - Leggi Squid Game, serie sudcoreana hit Netflix  Scene complicate da girare - Le scene di taglio delle caramelle sono state complicate da girare, perché il dalgona si scioglie molto facilmente in un'atmosfera umida, specialmente durante la stagione delle piogge in Corea del Sud. Il direttore artistico Chae Kyung-sun ha quindi chiamato gli "specialisti dalgona" che sono venuti a fare le caramelle nel luogo delle riprese. Lim Chang-joo e sua moglie Jung Jung-soon, hanno prodotto tra 300 e 400 dalgona durante i tre giorni di riprese. "Erano più piccoli e sottili di quelli che produciamo di solito", ha spiegato Lim all'Afp. Ora, la loro modesta bancarella, situata in una strada nel quartiere dei teatri di Seoul, è uno dei luoghi più desiderabili della capitale sudcoreana. Non appena si apre, le persone si accalcano nella speranza di acquistare uno di questi dolcetti che fanno in loco e rivendere per 2.000 won (circa 1,45 euro). Non è raro che i clienti aspettino fino a sei ore. Alcuni finiscono per arrendersi e se ne vanno a mani vuote. Il signor Lim impiega circa 90 secondi per sciogliere lo zucchero e il bicarbonato di sodio in un piccolo mestolo su un fornello. Quindi, pressa la pasta e, utilizzando uno stampo, dà la forma desiderata dal cliente. Il pasticcere offre una vasta gamma di forme e recentemente ha anche aggiunto una "N" per Netflix. Il signor Lim, che non avrebbe mai immaginato che la sua pasticceria sarebbe diventata così popolare, ora ha una vita "super frenetica". "Certo, sono contento perché la mia attività sta andando bene e la dalgona è diventata famosa in altri paesi", spiega questo commerciante che ha aperto il suo stand 25 anni fa. - Crisi finanziaria - I dalgona sono apparsi negli anni '60, quando la Corea del Sud era in preda alla povertà del dopoguerra. I dolci - come il gelato o i cioccolatini - erano scarsi e venduti a prezzi esorbitanti. Molto dolce, con sentori di noci e amaro, questa delizia era molto popolare e molti venditori allestivano le loro bancarelle vicino alle scuole. Il signor Lim e la signora Jung hanno deciso di intraprendere questa attività dopo la chiusura del loro negozio di cucito durante la crisi finanziaria asiatica del 1997.  "La Corea del Sud è sempre stata il punto di incontro tra mezzi moderni e premoderni, occidentali e metodi orientali, per preservare il passato sacrificando tutto per il futuro", secondo Michael Hurt, professore di teoria culturale presso la Korea National University of le arti.	ansa
19 ottobre 2021	Pechino 2022: aspettative crescenti tra gli atleti	https://www.ansa.it/sito/notizie/mondo/notiziario_xinhua/2021/10/19/pechino-2022-aspettative-crescenti-tra-gli-atleti_06f19cea-8b67-4205-a6b7-8769695ef3af.html	(XINHUA) - PECHINO, 19 OTT - A meno di quattro mesi dall'inaugurazione, le aspettative per i giochi olimpici invernali di Pechino 2022 stanno accrescendo tra gli atleti.       "Sono molto felice di aver ricevuto finalmente la notizia che andremo a Pechino", ha affermato Bruce Mouat, un giocatore britannico di curling dopo che la British Olympic Association ha annunciato il suo primo gruppo di atleti venerdì scorso.  Mouat non solo competerà nella categoria maschile, ma anche in coppia con Jen Dodds nel doppio misto.     Alcuni atleti sono più fortunati, in quanto hanno avuto la possibilità di avere un assaggio delle Olimpiadi invernali prendendo parte agli eventi di prova per Pechino 2022 durante le ultime due settimane.     Come prima competizione internazionale della serie di test, il China Open di pattinaggio di velocità ha attirato atleti da tutta la Cina, dai Paesi Bassi e dalla Corea del Sud per competere in 12 eventi dall'8 al 10 ottobre. L'evento, che mira a testare tutti gli elementi coinvolti nella competizione, è stato lodato molto dai pattinatori per le rigide misure di prevenzione e controllo della pandemia messe in atto, le strutture ben attrezzate e l'organizzazione sistematica.     "Questa sede è immensa e bellissima, e le misure di prevenzione in atto mi fanno sentire al sicuro", ha spiegato la campionessa olimpica giovanile Isabel Grevelt dei Paesi Bassi.     "È una bella pista ed è stato bello poter pattinare qui. La qualità del ghiaccio è alta e le strutture sono perfette", ha raccontato Yang Binyu, che ha vinto la prima medaglia d'oro per la delegazione cinese nel pattinaggio di velocità femminile Mass start ai Giochi Olimpici Giovanili Invernali di Losanna 2020.     "Sono onorata di partecipare alla competizione nella sede che ospiterà le Olimpiadi invernali di Pechino", ha aggiunto la sudcoreana Park Chae-won. (SEGUE)	ansa
07 marzo 2022	Figlia Perduta' trionfa agli Oscar del cinema indipendente	https://www.ansa.it/sito/notizie/cultura/cinema/2022/03/07/figlia-perduta-trionfa-agli-oscar-del-cinema-indipendente_1e7beac5-922c-4776-a575-261f8139be6e.html	(ANSA) - NEW YORK, 06 MAR - Maggie Gyllenhaal con il suo "La Figlia Perduta" adattato da un romanzo di Elena Ferrante ha trionfato ai premi del cinema indipendente.  Il dramma sui tabù e le sfide che circondano l'essere madre ha vinto il premio per il miglior film agli Spirit Awards, assieme ai riconoscimenti per la migliore sceneggiatura e la migliore regia.    I Film Independent Spirit Awards premiano film a basso e medio budget con un massimo di 22,5 milioni di dollari. "La Figlia Perduta" ha ricevuto tre candidature agli Oscar tra cui quella per la migliore attrice, Olivia Colman. "Il mio film parla una lingua inconsueta: la lingua della mente delle donne", ha detto la Gyllenhaal, dedicando i premi alle "donne nel cinema".     Netflix si è rivelato vincitore della serata con sei premi, tra cui due per "Passing", il dramma su una afroamericana che si fa passare per bianca nella Harlem degli anni Venti e un altro per la serie sudcoreana "Squid Game". Il giapponese "Drive My Car" ha vinto come miglior film internazionale. Tra i film arrivati in finale c'era anche, con tre candidature tra cui quella per Best Film, "A Chiara' di Jonas Carpignano, la coproduzione italo-francese-svedese-danese che vede un'adolescente calabrese scoprire il coinvolgimento criminale del padre. (ANSA).	ansa
